Id,AnConstructie,NumarEtaje,Monument,StructuraTip,RiscZidarie,RiscStructura,NrApartamente,NrPersoaneZiua,NrPersoaneNoaptea,NrAngajati,NrVizitatori,avariere,VULNERAB
5,1963,8,0,1,000,000,28,58,58,25,0,1,E
6,1819,1,1,2,010,110,0,0,0,0,0,3,B
7,1900,2,0,7,100,011,0,0,0,0,0,0,F
8,1940,1,1,1,110,011,0,0,0,0,0,0,G
9,1900,2,0,3,110,001,9,25,25,0,0,3,B
10,1846,2,0,3,110,011,0,0,10,6,150,3,B
11,1940,3,0,8,100,011,0,0,0,0,0,1,E
12,1900,6,0,1,100,000,36,140,80,2,0,3,B
14,1890,2,0,2,111,010,4,8,8,0,0,4,A
16,1940,1,0,3,110,010,3,10,5,1,0,3,B
17,1900,1,0,3,000,000,4,12,12,4,100,3,B
19,1900,1,0,3,000,000,6,20,20,0,0,3,B
21,1890,0,0,2,000,000,0,0,0,0,0,3,B
22,1880,2,0,5,100,000,0,0,20,0,0,3,B
23,1883,2,0,4,000,000,0,0,2,0,0,3,B
24,1890,4,0,5,100,001,0,0,20,0,0,3,B
25,1890,4,0,1,100,001,0,0,10,0,0,3,B
28,1890,2,1,5,000,000,0,0,0,0,0,4,A
29,1900,2,0,1,110,011,0,0,10,0,0,3,B
30,1890,1,0,3,110,000,0,0,0,4,10,3,B
31,1900,8,0,5,111,000,0,0,50,0,0,3,B
32,1900,6,0,1,110,001,0,0,50,2,50,3,B
35,1890,3,0,1,111,000,12,36,30,0,0,3,B
36,1890,4,0,1,110,010,20,40,40,0,0,3,B
37,1890,8,0,1,000,010,0,0,100,0,0,3,B
38,1900,1,0,2,000,000,2,8,8,0,0,3,B
39,1900,3,0,1,000,000,35,75,75,1,15,3,B
40,1890,5,0,1,100,000,48,90,90,0,0,3,B
41,1995,0,0,9,000,000,0,0,0,0,0,2,C
42,1900,5,0,1,100,000,12,30,30,0,0,3,B
43,1900,3,0,1,000,000,12,35,35,0,0,3,B
45,1900,1,0,2,000,000,1,2,2,0,0,3,B
46,1900,4,0,1,110,010,0,0,0,0,0,3,B
47,1900,2,0,2,100,010,4,16,16,0,0,4,A
48,1890,3,0,2,111,011,12,25,25,0,0,4,A
49,1900,2,0,3,110,000,4,10,10,0,0,3,B
50,1900,3,0,3,100,000,3,8,8,0,0,3,B
51,1900,3,0,3,000,000,3,12,12,0,0,3,B
53,1900,6,0,1,000,000,0,0,2,0,0,1,D
54,1900,2,1,3,100,000,0,0,0,0,0,3,B
55,1900,2,0,2,110,011,6,20,20,0,0,3,A
56,1900,2,1,3,100,000,6,24,20,2,100,3,B
57,1900,5,0,1,000,000,0,0,0,0,0,4,B
58,1900,1,0,3,100,000,0,0,1,0,0,3,B
59,1900,2,1,3,100,001,4,15,15,1,25,3,B
60,1900,2,1,3,110,000,4,15,15,2,0,3,B
61,1900,1,1,3,100,001,0,0,0,2,40,3,B
62,1900,2,1,2,000,000,3,12,12,0,0,3,A
64,1890,1,0,2,110,011,2,6,3,0,0,4,A
65,1900,3,0,2,100,110,3,6,6,0,0,4,A
67,1900,2,1,3,111,111,12,48,48,0,0,4,A
68,1900,3,1,3,100,000,5,15,15,0,0,4,B
69,1900,1,1,3,111,001,4,12,12,2,10,3,B
70,1900,2,1,2,110,011,0,0,0,1,100,3,A
71,1900,2,1,2,111,011,0,0,0,0,0,4,A
72,1900,1,1,2,110,001,4,16,16,0,0,4,A
73,1900,1,1,2,111,000,0,0,0,0,0,4,A
74,1900,1,1,2,000,000,0,0,0,0,0,4,A
75,1900,1,1,3,110,000,4,12,12,4,70,4,B
76,1900,2,0,2,100,000,2,6,6,0,0,3,A
77,1849,2,1,3,000,000,0,0,10,0,0,3,B
83,1900,1,1,2,110,000,1,4,4,0,0,4,A
84,1900,2,1,3,110,001,4,15,15,0,0,3,B
86,1900,1,1,3,110,011,4,12,12,0,0,4,B
87,1900,5,1,4,000,001,0,0,0,0,0,4,A
88,1900,1,1,2,000,010,0,0,0,0,0,4,A
89,1900,1,1,2,110,010,0,0,0,0,0,4,A
90,1900,1,1,2,000,011,0,0,0,0,0,4,A
91,1819,0,1,3,000,000,0,0,0,0,0,3,B
93,1900,2,0,1,110,010,0,0,20,0,0,4,A
94,1900,3,0,3,000,001,8,20,20,0,0,3,B
95,1898,4,1,4,000,000,0,0,0,25,300,3,B
96,1890,2,1,5,110,010,0,0,1,0,0,0,G
97,1900,2,1,5,100,000,0,0,1,5,21,3,B
98,1900,7,0,1,100,001,42,90,2,5,100,3,B
99,1900,3,0,4,110,101,8,20,20,0,0,3,A
101,1900,2,0,2,110,010,0,0,0,0,0,4,A
102,1900,1,0,2,010,000,2,6,6,0,0,4,A
103,1900,1,0,2,110,000,3,14,14,2,30,4,A
104,1900,1,0,1,100,000,0,0,0,0,0,4,C
105,1900,1,0,2,100,010,0,0,0,0,0,2,A
106,1900,1,1,3,101,010,6,15,15,3,20,4,B
107,1900,2,0,3,110,000,18,30,30,0,0,3,B
108,1852,0,0,2,000,000,0,0,1,0,0,3,B
109,1900,1,0,2,110,000,4,15,15,0,0,3,B
110,1900,1,0,2,110,000,4,15,15,0,0,3,A
111,1900,2,1,3,111,001,4,10,10,0,0,4,B
112,1900,2,0,3,000,000,9,25,25,0,0,3,B
113,1852,2,0,3,110,011,4,12,12,0,0,3,B
114,1852,2,1,3,000,000,0,0,0,0,0,0,G
115,1900,2,0,3,110,000,4,12,12,0,0,3,B
116,1900,2,0,3,110,001,2,8,8,0,0,3,B
117,1900,2,0,3,010,101,6,18,18,0,0,3,B
118,1890,2,1,3,000,000,12,35,35,0,0,3,B
120,1910,3,0,5,000,000,12,24,24,0,0,3,B
122,1900,2,0,1,000,000,0,0,0,4,50,3,B
123,1900,1,1,1,000,000,0,0,0,0,0,3,B
126,1900,4,1,1,000,000,0,0,0,0,0,3,B
127,1900,1,0,3,000,000,0,0,2,4,50,3,B
128,1724,0,1,3,000,000,0,0,0,0,0,3,B
129,1885,2,1,6,000,000,0,0,2,0,0,1,D
130,1880,4,1,1,000,000,0,0,2,0,0,2,C
131,1876,2,1,4,000,000,0,0,1,10,100,3,B
132,1978,6,0,1,000,000,36,74,74,0,0,3,E
133,1900,2,1,1,000,000,0,0,80,0,0,3,B
134,1883,2,1,4,110,010,0,0,0,0,0,1,A
135,1890,1,1,2,110,001,8,20,20,0,0,4,A
136,1900,0,1,1,000,000,0,0,1,8,150,3,B
137,1873,1,1,3,000,000,0,0,0,0,0,3,B
138,1890,1,1,1,000,000,0,0,1,0,0,4,C
139,1890,2,1,3,000,000,0,0,1,0,0,2,B
140,1890,2,1,1,000,000,0,0,1,0,0,3,D
141,1900,2,1,1,110,010,0,0,0,0,0,1,B
142,1890,2,1,9,110,010,2,5,5,0,0,3,B
143,1890,0,1,1,000,000,0,0,0,0,0,3,B
144,1890,2,1,2,100,010,0,0,0,0,0,3,B
145,1890,0,1,9,000,000,0,0,0,0,0,3,C
146,1890,1,1,2,110,010,0,0,0,0,0,2,G
147,1920,7,0,1,100,000,0,0,1,0,0,3,B
148,1890,3,1,3,110,010,8,24,24,6,200,3,B
149,1890,1,1,1,000,000,0,0,0,0,0,2,C
150,1890,1,1,1,110,000,6,15,15,0,0,3,B
151,1890,0,0,9,100,000,0,0,0,0,0,2,C
152,1890,1,0,1,100,000,0,0,0,0,0,2,C
153,1890,1,1,1,110,000,0,0,0,0,0,4,A
154,1890,1,1,1,100,000,0,0,0,0,0,4,A
155,1890,1,1,2,101,001,0,0,0,0,0,3,B
156,1890,0,1,4,100,000,0,0,0,0,0,3,B
157,1900,2,1,3,110,010,0,1,0,0,0,3,B
158,1890,0,0,2,000,000,0,0,0,0,0,3,B
160,1911,2,0,3,000,000,8,25,25,0,0,3,B
161,1900,1,1,3,110,001,0,0,0,0,0,3,B
162,1900,2,0,3,101,001,3,8,8,0,0,3,B
163,1900,1,0,2,110,110,2,6,6,0,0,3,B
164,1900,2,0,2,100,000,2,5,5,0,0,4,A
165,1900,3,0,2,110,011,6,20,20,0,0,4,A
166,1900,2,1,2,110,001,6,20,20,0,0,4,A
167,1900,3,0,3,000,001,6,18,18,0,0,3,B
168,1900,2,0,3,100,001,0,0,0,0,0,3,B
169,1900,2,1,3,110,000,0,0,0,0,0,3,B
170,1890,1,0,3,000,000,0,0,0,0,0,3,B
171,1890,1,1,3,110,111,0,0,0,0,0,3,B
173,1890,3,0,1,000,000,0,0,0,0,0,3,B
174,1900,6,0,1,100,000,0,0,0,0,0,3,B
175,1890,2,0,2,110,001,8,25,25,0,0,3,B
176,1900,2,0,2,000,000,0,0,0,0,0,1,D
177,1900,2,0,2,000,000,4,14,14,0,0,1,D
178,1900,2,0,2,000,000,3,7,7,0,0,3,B
179,1900,2,1,2,000,000,0,0,1,0,0,3,B
180,1900,0,0,2,000,000,0,0,5,0,0,3,B
181,1900,1,0,2,000,000,2,6,6,0,0,3,B
182,1900,2,0,2,000,000,2,6,6,0,0,4,A
183,1900,2,0,2,000,000,2,8,8,0,0,4,A
184,1900,1,0,2,000,000,0,0,0,0,0,4,A
185,1900,2,0,2,100,000,4,12,12,0,0,3,B
186,1900,1,0,2,000,000,0,0,0,0,0,4,A
187,1900,2,0,2,110,000,0,0,0,0,0,4,A
188,1900,2,0,2,110,000,0,0,0,0,0,4,A
189,1900,1,0,2,100,000,0,0,0,0,0,4,A
190,1900,1,0,2,110,000,0,0,0,0,0,4,A
191,1900,0,0,2,100,000,2,10,10,0,0,3,B
192,1900,1,0,6,000,000,2,6,6,0,0,1,D
193,1900,2,0,3,110,000,3,15,15,0,0,3,B
194,1900,0,0,2,000,000,0,0,0,0,0,3,B
195,1900,0,1,1,100,000,0,0,1,3,50,3,B
198,1900,3,0,6,000,000,0,0,0,0,0,1,D
199,1900,2,0,1,110,000,0,0,0,0,0,3,B
200,1900,2,0,1,110,000,4,10,1,0,0,3,B
201,1900,4,0,9,000,000,0,0,1,0,0,3,B
202,1920,7,0,1,000,000,45,95,95,14,300,2,C
203,1920,0,0,2,000,000,0,0,1,0,0,3,B
204,1890,1,0,3,010,001,12,35,35,0,0,3,B
205,1890,1,0,3,110,110,0,0,0,3,100,3,B
206,1890,2,0,1,110,010,0,0,1,0,0,3,B
207,1920,5,0,1,100,000,6,20,20,2,30,3,B
208,1920,6,0,1,100,000,24,64,64,0,0,3,B
209,1900,6,1,1,110,000,0,0,0,0,0,1,E
210,2005,4,0,1,000,000,0,0,10,0,0,0,F
211,1890,1,0,3,110,010,4,10,10,0,0,3,B
212,1890,3,0,1,110,010,0,0,1,0,0,3,B
213,1890,1,0,3,110,010,6,15,15,1,15,3,B
214,1890,1,0,2,110,110,4,10,10,1,30,4,A
215,1890,2,0,3,110,000,12,40,40,2,300,3,B
216,1890,1,0,3,100,010,0,0,0,25,0,3,B
218,1890,3,0,3,000,000,16,30,30,1,30,3,B
219,1890,1,0,3,000,000,4,16,16,0,0,3,B
220,1890,0,0,1,000,000,0,0,0,0,0,0,G
221,1890,0,0,5,110,000,0,0,1,1,20,2,C
222,1890,1,0,3,000,000,4,15,15,0,0,3,B
223,1890,1,0,3,000,000,3,10,10,0,0,3,B
224,1890,1,0,9,000,000,0,0,0,0,0,3,B
225,2008,2,0,9,000,000,0,0,0,0,0,1,D
226,1890,1,0,4,000,000,0,0,0,0,0,3,B
227,1890,1,0,2,110,011,4,15,15,2,100,4,A
228,1890,0,1,2,000,000,0,0,1,0,0,3,B
229,1900,3,0,4,110,000,0,0,1,0,0,3,B
230,1900,1,0,1,000,000,0,0,1,0,0,0,G
231,1890,1,0,3,110,010,0,0,1,2,100,3,B
233,1900,4,0,2,110,011,4,14,14,0,0,4,A
234,1900,1,0,6,000,000,4,12,1,4,60,1,D
235,1900,2,0,3,100,001,4,15,15,0,0,3,B
236,1890,1,0,3,110,001,6,14,14,2,60,3,B
237,1900,1,1,3,110,010,0,0,0,8,200,3,B
238,1900,2,0,5,000,001,4,10,10,0,0,2,C
239,1900,1,1,3,110,001,0,0,0,0,0,3,B
240,1900,2,0,5,100,011,4,15,15,0,0,3,B
241,1900,2,0,2,111,011,4,18,18,0,0,4,A
242,1900,2,0,3,000,001,0,0,1,0,0,3,B
243,1900,1,0,2,100,010,0,0,1,0,0,4,A
244,1500,0,1,3,000,000,0,0,0,0,0,3,B
245,1700,0,1,3,000,000,0,0,0,0,0,3,B
247,1900,3,0,3,100,000,4,16,16,0,0,3,B
248,1900,5,0,3,101,000,0,0,20,0,0,3,B
249,1900,5,0,3,101,001,0,0,20,0,0,3,B
251,1960,7,0,1,100,001,57,147,140,0,0,2,C
252,1920,0,1,2,000,000,0,0,0,0,0,1,E
253,1900,2,0,2,110,010,4,15,1,0,0,4,A
254,1900,0,0,2,110,000,0,0,0,0,0,3,B
255,1900,1,0,2,110,010,0,0,0,0,0,4,A
256,1900,1,0,2,110,000,1,3,3,0,0,4,A
257,1900,7,0,1,100,001,25,76,76,0,0,3,B
258,1900,2,0,1,110,000,0,0,0,0,0,2,C
259,1900,3,0,2,110,001,4,14,14,0,0,4,A
260,1900,2,0,2,110,011,0,0,0,0,0,4,A
261,1900,2,0,2,110,011,0,0,0,0,0,4,A
262,1559,0,1,3,100,010,0,0,0,0,0,3,B
263,1900,0,1,2,100,000,0,0,0,2,50,3,B
264,1900,2,0,3,110,001,12,45,45,0,0,3,B
265,1927,1,1,3,000,000,0,0,0,0,0,3,B
267,1890,3,0,1,000,000,6,20,20,15,200,3,B
268,1850,0,1,5,000,000,0,0,0,0,0,3,B
269,1978,6,0,1,000,000,18,44,5,0,0,1,C
271,1883,2,1,3,110,010,12,30,10,3,0,3,B
272,1899,3,1,1,100,001,0,0,1,0,0,3,B
273,1899,2,1,1,000,010,0,0,1,0,0,3,B
274,1899,2,0,5,000,000,0,0,1,0,0,3,B
275,1852,2,1,3,110,101,8,25,25,3,50,3,B
276,1874,2,1,3,110,011,0,0,1,0,0,3,B
277,1910,2,0,3,000,000,0,0,0,0,0,3,B
278,1910,3,0,5,000,000,0,0,0,0,0,3,B
279,1910,1,0,3,000,000,0,0,0,0,0,3,B
280,1910,2,0,3,000,000,0,0,0,0,0,3,B
282,1920,1,0,3,110,000,0,0,10,0,0,3,B
283,1900,6,1,1,110,110,0,0,0,0,0,3,B
284,1890,1,1,3,100,000,0,0,0,0,0,3,B
285,1915,4,1,5,100,001,0,0,2,0,0,3,B
286,1900,2,1,1,000,000,0,0,1,0,0,4,A
287,1910,5,0,1,000,000,0,0,100,0,0,3,B
288,1883,2,1,6,000,000,0,0,1,0,0,1,D
289,1890,2,0,3,110,000,0,0,1,4,0,3,B
290,1899,3,0,9,101,001,0,0,0,0,0,3,B
291,1898,1,0,3,000,000,0,0,0,0,0,3,B
293,1890,2,1,1,110,000,0,0,0,1,0,2,C
294,1890,1,0,1,000,000,12,35,35,0,0,2,C
295,1900,3,1,3,000,000,0,0,10,0,0,3,B
296,2008,0,1,1,000,000,0,0,0,0,0,0,G
297,1920,1,0,3,110,000,0,0,0,0,0,3,B
298,1890,1,0,3,100,000,0,0,0,0,0,3,B
299,1910,1,0,5,100,010,0,0,0,2,0,3,B
300,1900,4,1,1,000,000,0,0,0,6,0,3,B
301,1910,3,0,1,000,010,0,0,0,8,0,3,B
302,1890,5,0,1,110,010,0,0,0,0,0,3,B
305,1942,5,1,6,000,000,0,0,2,0,0,2,C
306,1900,4,1,1,000,000,0,0,50,0,0,3,B
307,1920,2,0,1,000,000,0,0,1,0,0,3,B
308,1900,2,1,1,000,000,0,0,1,0,0,3,B
309,1900,3,1,1,100,000,0,0,1,3,100,3,B
310,1910,5,1,1,100,010,10,15,1,0,0,4,A
312,1910,2,1,3,110,110,0,0,1,0,0,4,A
313,1910,2,0,5,000,000,0,0,1,0,0,3,B
314,1889,1,0,4,000,000,0,0,0,0,0,4,A
315,1847,0,1,6,000,000,0,0,0,0,0,1,D
316,1900,1,1,6,000,000,0,0,0,0,0,1,D
317,1884,2,0,6,000,000,0,0,5,0,0,1,E
318,1900,2,0,3,110,010,0,0,0,0,0,3,B
319,1884,2,0,3,000,010,0,0,0,0,0,3,B
320,1890,3,1,4,000,000,6,15,15,0,0,4,A
321,1900,5,0,1,110,011,20,55,55,0,0,3,B
322,1885,5,1,1,000,000,9,20,20,0,0,3,B
323,1900,2,1,2,111,011,0,0,0,0,0,3,B
324,1900,4,1,5,001,001,10,22,22,0,0,3,B
325,1885,2,1,2,100,000,2,6,6,0,0,4,A
326,1885,2,1,2,000,000,0,0,0,0,0,4,A
327,1887,2,1,2,000,000,0,0,0,0,0,4,A
328,1916,1,1,2,110,111,0,0,0,0,0,4,A
329,1916,2,0,1,110,000,0,0,0,0,0,3,B
331,1900,2,0,2,100,111,2,6,6,0,0,4,A
332,1900,7,0,1,110,010,16,41,41,0,0,3,B
333,1885,2,1,3,110,011,4,12,12,0,0,3,B
336,1916,2,1,3,110,011,6,20,20,0,0,3,B
338,1900,1,1,3,100,011,2,5,5,0,0,3,B
339,1900,2,1,3,111,011,2,3,3,0,0,3,B
340,1916,2,1,3,110,011,0,0,0,0,0,3,B
341,1920,6,0,1,110,000,27,67,67,8,200,1,E
342,1900,1,0,3,000,000,0,0,1,7,150,3,B
343,1900,1,0,4,000,000,2,6,6,0,0,3,B
344,1900,2,0,1,000,000,2,5,5,0,0,3,B
345,1900,4,0,1,000,000,0,0,0,0,0,3,B
346,1900,4,1,4,000,000,0,0,50,0,0,3,B
347,1896,1,1,6,000,000,0,0,0,0,0,1,D
348,1890,5,1,3,000,000,0,0,1,0,0,3,B
349,1841,0,1,6,000,000,0,0,0,0,0,3,B
350,1900,2,0,2,110,010,0,0,0,0,0,3,B
