Code,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12
ALB,-0.06554759796861076,-0.0517824892681254,-0.3098381958259243,-0.008273463577570838,-0.23868132659053162,-0.2202702286248264,-0.19245498918538018,0.025557573658336087,-0.23588821881930608,-0.22176933241768038,-0.5354023470983827,0.18617641125996134
AUT,0.024832795310043145,-0.2786430195703323,0.05049866592681707,0.19849024636051052,-0.041657973566515426,-0.02601668608729152,-0.2683185428549049,-0.1507254182470803,-0.06346465467298763,-0.07953179222546788,0.2813579998023129,-0.2561131358102957
BLR,-0.0570807996120141,-0.0011250122360910082,-0.05748921455202376,0.053889076373682704,0.14397706789226875,-0.010374297234508265,0.09878573284032065,-0.22439838313147778,0.35338611135468867,-0.08429536480868968,-0.05590889695834563,-0.06003447963433941
BEL,0.06975790330160925,0.11467599639398922,0.2221548697636361,0.00353133869053555,-0.10254705337068455,-0.047338709887566485,0.02503358955061241,-0.0739658772088983,0.004249048792304828,0.14313619201464986,0.013039348913958042,0.0322152443432673
BIH,-0.1487923465161509,0.10781870047839966,-0.08146992191511754,-0.36457617363631833,-0.060080510861224616,-0.17479694145412128,-0.027348489150336074,0.38365924386226125,0.2679845786667543,0.27894586736083704,0.24690138584852409,-0.08141356300676451
BGR,0.03519878667965333,0.06699300449444938,-0.23796884104821947,-0.3413979777969085,-0.2288000507623701,0.07847030793611448,0.2648333646140998,-0.297265906298335,-0.06442116705166377,-0.11745322880541335,-0.0059588481594550725,-0.07864920154876731
HRV,-0.1050154075479437,0.10459838553261289,-0.08525485474468728,-0.08409908244154544,-0.0012609653370545845,-0.15034596132940523,-0.03922820534760628,0.19268130424228896,0.23914924648075941,0.019685178918637844,0.10565397906468729,-0.10537230592416726
CZE,0.025471181761954818,-0.07299266920773999,-0.03250687236054815,0.01058822361827304,0.03801333106655127,0.19637963222456056,-0.2551146903978125,-0.04753241295065581,0.04230836940446454,0.01372872659265687,0.2148320984211838,0.2384136361062967
CYP,0.7156242558283473,-0.016497975609871,-0.1249037548619391,0.08835161226187221,0.2795078660314387,-0.22671732086994112,0.08321328612378899,0.2552420204855533,0.046254334154280395,-0.06687142646222514,0.03733333958940708,0.10263284635121118
DNK,-0.0026783775618834035,0.19566056171486573,0.16424491238732286,-0.14045984782865176,0.29529484032023134,-0.08021213255570649,-0.15255944858045797,-0.17472321328460436,-0.12104018062834844,-0.0767102613173556,0.06650221570698014,0.00803726340274986
EST,-0.04514910071749167,0.017772424794586753,-0.08753196265786962,-0.1133245616777032,0.26299509342833816,0.41678437321618084,0.21955909310909655,0.1192639896905949,-0.19779834601378402,0.34468667895554067,-0.1652112991704465,-0.15385442369174254
FIN,-0.2980955423214711,-0.17397314886899215,-0.06504435202894039,0.1968341665852872,0.26585973602848695,-0.4272521450240976,0.30316539285386945,-0.06392661733623045,-0.3960293936840986,0.11303929130800867,0.11942132239780746,-0.16961956751850069
FRA,0.03940142820422022,-0.05701324230305748,0.20214384282207945,0.10756334305721586,-0.24951310896182982,-0.05316557820606996,0.034501434467771375,0.0031442200862156666,-0.05296791881917929,-0.006114169769310324,0.07710792451321109,-0.06888589400033211
DEU,-0.01311565846029715,-0.016669455167545175,0.06820276816681639,0.10002316775457291,0.01670490114096846,0.074416221667007,-0.2584974066856258,-0.1810871865598359,-0.10665011434020505,0.09902586878997925,0.08627253197195181,-0.07360531279736683
GRC,0.3527689192611979,0.02771200112130147,-0.24732849568199936,-0.11065956549201353,0.14388198083290757,0.15071797936052614,-0.12721133404925336,-0.07866587823073107,-0.14922060281314334,0.2052087267543988,-0.11390235642779785,-0.0932502789529603
HUN,0.04142756235248059,0.20318385698102073,0.02716990332627401,0.013846861528983897,-0.012854772941610975,-0.12255985955107575,0.3748481361385238,-0.07193532159017488,0.27730123453421707,-0.33448112969372257,-0.012877310180593295,-0.11481473546571344
ISL,0.0037609084503248146,0.06171820742293244,0.343428688210208,-0.20387708983883532,0.19235085859182216,-0.0335250772267712,-0.02447430366501461,-0.09700255364368461,0.003678025181518716,-0.08834019666138236,-0.1455422381337112,0.03310968583110478
IRL,-0.012400908551339455,0.15772866415008122,0.3072563355779285,0.13933957800515911,-0.17361219486163018,-0.2244605364662236,-0.08462975926162979,-0.08402350825220092,0.13595395043689013,0.28726947922761703,-0.26060688777964036,0.22421187250325386
ITA,0.1709401378442603,-0.0708812368884415,-0.034576007419591034,0.24798661248240914,-0.17191715191620155,0.035150553728021706,0.022900113613666475,0.03691136392589896,-0.14187926153138733,-0.10386106270358507,0.16534094005276853,-0.239710645435179
LVA,-0.11732717151715444,-0.20210782871334773,-0.03974746886196939,0.15404899864297417,0.0711105603934068,-1.5160893406272546e-05,0.20208458194247883,-0.06602911114445044,0.060687666206165294,0.11617207659017226,-0.05613442315394372,0.29926675587310736
LTU,-0.15171706176844524,-0.11504751867789115,-0.12225430494264054,0.13579468603176686,0.10609054433334258,-0.028232713178631075,0.2502170776672587,-0.05917187356574243,0.060789031701397885,0.174580593525582,0.006204702392261033,0.28564912372344764
MKD,0.0017334995751171652,-0.004935759935782708,-0.2361466574081384,-0.148963747472498,-0.13611260610624215,-0.08609852235759664,-0.06395234316553133,-0.0714760284336814,-0.058051923817234015,-0.011607382405650176,-0.08333975516613555,-0.021463705864860596
NLD,-0.14328983709688412,0.5796845471963278,-0.08978885364003183,0.3901005355234647,-0.02897552277040501,0.14060465897042243,-0.023059017466232845,0.30635593281668766,-0.17416398924799215,-0.059055114876689886,-0.076777716448917,-0.05691504035268484
NOR,-0.018863703777562257,0.1144493857565586,0.22821090252403428,-0.18306519373276353,0.2488155102224978,0.020532379895859848,-0.0403926471087115,-0.1529563914622961,-0.05453129926548615,-0.13399074344253178,-0.05733223941746088,0.009255586677484705
POL,-0.05706471894294785,-0.12054868280724595,-0.021236929796981337,0.07122972603209625,0.10565854619998523,0.2575650766615915,-0.12638119323729016,-0.15171160480185128,0.19489648933156747,-0.14052233922483273,-0.15945864825880218,0.07117533322879231
PRT,0.2011170846456973,-0.022172283577219877,0.13228488115004655,-0.11800319422096736,-0.3484221727000261,0.14433786695734704,0.3084205921557172,-0.08308973580098736,-0.08638375568337317,0.046741113292390356,0.03492422447043753,-0.02628523023051927
ROU,0.03090948535981569,0.03998607426417666,-0.2028350590751672,0.028663691774597936,0.040593674082351226,-0.2841650096668748,-0.2175216209391033,-0.13710559676850403,0.1373940410122916,0.04043872998065857,0.1434835463722113,0.08304199766894495
RUS,-0.04584913525760617,-0.32220574790509987,0.018437089300929896,-0.010102309810935454,0.035055879731407814,0.20334984360831806,0.04179325897161329,0.19137216666401016,0.09762516130965204,0.05758181991081016,0.027316847250357105,0.2257853757327121
SRB,-0.1493572348440888,-0.1608631890723941,-0.11531229337226201,-0.30792821969307965,-0.1374173631560786,-0.08530800107411071,-0.18392565619162546,0.10025196553683613,-0.0656279705368869,0.04829104767454039,0.008695369207853146,-0.08520868596705641
SVK,-0.11710000068279987,-0.06874560033245784,-0.04144238186254625,0.0770429388593547,-0.08246344292996269,0.1779411040382487,0.06010304136779451,-0.05009431105030296,0.15131673798671663,-0.189624833518753,0.07806218513060303,-0.2140321949571488
SVN,-0.13739666969202663,0.10641210400017424,-0.05998696510961242,0.09236070824515681,0.12744178826288896,0.11566321004711759,-0.17941361479097048,0.02925155669778014,0.17032033140398956,0.05010702063998978,-0.16977376659669507,-0.30964506230544264
ESP,0.13752042383689878,-0.17868887257878516,0.3355942376913243,0.06057823453819678,-0.2129850273642811,-0.04646533707930285,-0.012042662441330815,0.1370726530576343,0.025535200433458336,0.24921803949106583,-0.23842584191122976,-0.21355315517757642
SWE,-0.10521036214039169,-0.09449855823268781,0.27412009595995906,-0.23502764994248712,0.08477030185594171,0.014717164554724818,-0.006387165050769191,0.35175622017061636,-0.30107068379683033,-0.40135763900550925,0.07508890961671565,0.14574508524498836
CHE,-0.013471200144828315,0.300730511498261,-0.05129048720594184,0.03939652950780088,-0.19676117978470037,0.15612987553347643,-0.00934189248644038,-0.10953185938885972,-0.15847039411785732,0.0664408589021892,0.3942415166023546,0.38370090963050263
UKR,-0.04594153728968284,-0.16973213484662847,-0.029793318435224567,0.16009780128836573,-0.034060056433483955,0.14455997036800886,0.002796286639414748,0.29389857825587135,0.15883031644864723,-0.2387112925909251,-0.04512781246402799,0.09400949106359334
