Tara,Partitie_Optima,Silhouette_Partitie_Optima,Partitie_4,Silhouette_Partitie_4
Afghanistan,C1,0.4247683400096712,C3,-0.11612360483164787
Albania,C2,0.47185886991106457,C2,0.3993268543612385
Algeria,C2,0.6840003686115352,C2,0.16444084722292898
Andorra,C2,0.6527020466680993,C4,0.7436036432875794
Angola,C1,0.4797752940755824,C1,0.3263510363785717
Antigua and Barbuda,C2,0.6698559533130514,C2,0.2647526859231527
Argentina,C2,0.6972655253895969,C4,0.537845154397185
Armenia,C2,0.49669612825506876,C2,0.44182108096396766
Australia,C2,0.6599315997640969,C4,0.7643470614538481
Austria,C2,0.7039901417139194,C4,0.7590101529112181
Azerbaijan,C1,-0.21928916502996176,C3,-0.07284870686951077
Bahamas,C2,0.6234137300087836,C2,-0.0707793358516419
Bahrain,C2,0.6962658426682653,C2,-0.25036876980696354
Bangladesh,C1,0.019996155292136705,C3,0.17558765339656449
Barbados,C2,0.711408692068862,C4,0.5005636766691285
Belarus,C1,-0.08060164075102828,C3,0.09183584723684418
Belgium,C2,0.6837250707052124,C4,0.7806520066150028
Belize,C2,0.6198471708598814,C2,0.35976737561243644
Benin,C1,0.13720096977659388,C3,0.1904228067217702
Bhutan,C2,0.20502030606382482,C2,0.06941322048948555
Bolivia,C2,0.2556201414828356,C2,0.15730051419849855
Bosnia and Herzegovina,C2,0.5465496933508868,C2,0.3822108663029769
Botswana,C1,0.4015899397559938,C1,0.42252737240172455
Brazil,C2,0.6164278507377372,C2,0.42906361716416735
Brunei Darussalam,C2,0.692472490037503,C4,0.6374664672353639
Bulgaria,C2,0.42636535061498687,C2,0.34542295680087876
Burkina Faso,C1,0.4436476044051327,C1,0.047286486681701406
Burundi,C1,0.466206278119847,C1,0.3369050302606418
Cambodia,C1,0.3359612623652831,C1,0.05196001052101655
Cameroon,C1,0.38210282666533757,C1,-0.15944794469957854
Canada,C2,0.6626768267445265,C4,0.7713145973757336
Cape Verde,C2,0.40046860643831605,C2,0.32350495400220264
Central African Republic,C1,0.5065688452639101,C1,0.31989173532390036
Chad,C1,0.49400922915391315,C1,0.2273548721121694
Chile,C2,0.6872457031788742,C4,0.7742341045313256
China,C2,0.671306666307614,C2,-0.05202688135143326
Colombia,C2,0.61796186953169,C2,-0.035958418051896625
Comoros,C2,0.43022666089492584,C2,0.38578669154512946
Congo,C1,0.4850263052249112,C1,0.29269903670459196
Cook Islands,C2,0.6716035475974597,C2,0.10458540529819725
Costa Rica,C2,0.6982002296915761,C4,0.7571496712605701
Cote d'Ivoire,C1,0.4965823448389846,C1,0.24239407998996926
Croatia,C2,0.6748956645068855,C2,0.1917538424375655
Cuba,C2,0.709516664235615,C4,0.6765195921265492
Cyprus,C2,0.6654082381747236,C2,-0.1440709053496481
Czech Republic,C2,0.6951481552075962,C2,-0.13004517752995842
Democratic People's Republic of Korea,C2,0.4363197563594108,C2,0.3594992788323844
Democratic Republic of the Congo,C1,0.4879733438090361,C1,0.3480602672029897
Denmark,C2,0.6856134668508012,C4,0.744924998264741
Djibouti,C1,0.3397341609235705,C1,0.14680324058637076
Dominica,C2,0.6886980901024998,C4,0.2620581534759977
Dominican Republic,C2,0.578374792757282,C2,0.4925020948684597
Ecuador,C2,0.5570793283851116,C2,0.10052355389121535
Egypt,C2,0.3438386998941445,C2,0.24550641962344083
El Salvador,C2,0.5610282397028475,C2,0.07990960596617479
Equatorial Guinea,C1,0.469568288372255,C1,0.15857124732282019
Eritrea,C2,0.255195393484455,C2,0.16784039327773592
Estonia,C2,0.3822430136248897,C2,0.31112370684025425
Ethiopia,C1,0.4501904475044947,C3,0.0502054224407255
Fiji,C2,0.3641797479211048,C2,0.2973932981076122
Finland,C2,0.7020346631709433,C4,0.718389524489978
France,C2,0.6505483765574327,C4,0.7296220775430753
Gabon,C1,0.21455687472646331,C3,0.31308916489828104
Gambia,C1,0.18224550642473683,C3,0.3014499569461599
Georgia,C2,0.36617775261615265,C2,0.2600546746034026
Germany,C2,0.7032904646152106,C4,0.7425546914674587
Ghana,C1,0.17170199700881728,C3,0.2777448253222875
Greece,C2,0.700103643065035,C4,0.5841025280098997
Grenada,C2,0.3578599999051322,C2,0.28467828289114866
Guatemala,C2,0.46287100767157596,C2,0.06805668611683556
Guinea,C1,0.3886638255696087,C1,-0.22162629098008588
Guinea-Bissau,C1,0.4464939874241221,C1,0.05116292367973605
Guyana,C1,0.23898638694264857,C3,0.30667242621526125
Haiti,C1,0.30310473236879854,C3,0.2298343316122458
Honduras,C2,0.5240577379793668,C2,0.4622034980096817
Hungary,C2,0.5721850004823992,C2,0.3863099895524685
Iceland,C2,0.6719934491653614,C4,0.7728052987749723
India,C1,-0.06990507410142646,C3,0.02820788537658834
Indonesia,C1,-0.1302042589863464,C3,0.002346605539681344
Iran (Islamic Republic of),C2,0.47348393432741426,C2,0.4252546639004578
Iraq,C2,0.3861640804306119,C2,0.30599064613584326
Ireland,C2,0.7030519553782951,C4,0.7307975924536392
Israel,C2,0.662149016023867,C4,0.7710566123319177
Italy,C2,0.6793743500874153,C4,0.7786801740783669
Jamaica,C2,0.6741271998440381,C2,0.13270872043278334
Japan,C2,0.6302971461508312,C4,0.7020674402625824
Jordan,C2,0.6391172479404367,C2,0.37819830442516605
Kazakhstan,C1,0.2484554955418023,C3,0.3318926966535292
Kenya,C1,0.48955760823764033,C1,0.41380121229048467
Kiribati,C1,0.006932958513380663,C3,0.040619763576180086
Kuwait,C2,0.670662243061339,C2,-0.3305720183101284
Kyrgyzstan,C1,0.01742717892248769,C3,0.21121802241012683
Lao People's Democratic Republic,C1,0.28605384119097704,C3,0.35230455567582447
Latvia,C2,0.3074771063979259,C2,0.20581308684154825
Lebanon,C2,0.5483939356244962,C2,0.48354291785039744
Lesotho,C1,0.4377016884419029,C1,0.431665474468227
Liberia,C1,0.4836595973826508,C1,0.29288714302628505
Libyan Arab Jamahiriya,C2,0.6319326803218875,C2,0.4166166415629772
Lithuania,C2,0.4876168002695225,C2,0.4332265655937902
Luxembourg,C2,0.6920653189323278,C4,0.7870597973409326
Madagascar,C1,0.20227295762656905,C3,0.32688294432716086
Malawi,C1,0.4896641583671547,C1,0.46667033085821724
Malaysia,C2,0.6606123817875027,C2,0.004272827701564601
Maldives,C2,0.49407263886458497,C2,0.44433803122881865
Mali,C1,0.5098055319762157,C1,0.27347698644375273
Malta,C2,0.6848796432435446,C4,0.7060522977087995
Marshall Islands,C1,0.3638830288297893,C3,0.38852942566126086
Mauritania,C1,0.24207462493628268,C3,0.34666207199113985
Mauritius,C2,0.5832812877184043,C2,0.4751785722612341
Mexico,C2,0.6649120132540044,C4,0.5882307915653505
Micronesia (Federated States of),C2,0.47215994109670745,C2,0.4202646032097518
Monaco,C2,0.6470818107937512,C4,0.7206379054299878
Mongolia,C1,0.04680728893050284,C3,0.15753017850262419
Montenegro,C2,0.6004039365736793,C2,0.33724610132580063
Morocco,C2,0.5890671504091503,C2,0.3727304351099769
Mozambique,C1,0.46078295592212043,C1,0.3047088560303615
Myanmar,C1,0.04087979582028353,C3,0.1936084690530253
Namibia,C1,0.33631195176991835,C1,0.19942646230846753
Nauru,C1,0.35423424124122266,C3,0.25556973870789723
Nepal,C1,0.19429370149113329,C3,0.3042115845226367
Netherlands,C2,0.6768207265172119,C4,0.7696349605498298
New Zealand,C2,0.6858952095079633,C4,0.7892174204610362
Nicaragua,C2,0.6678273154091533,C2,0.2324620811119918
Niger,C1,0.4235337418061212,C1,0.23349326937200013
Nigeria,C1,0.49163549083589875,C1,0.21184909657746845
Niue,C2,0.629374207695758,C2,0.3212216824628853
Norway,C2,0.6886124350514415,C4,0.788771257167428
Oman,C2,0.6472373592673997,C2,0.34784314389299814
Pakistan,C1,-0.25559862647065124,C3,-0.13123805843618502
Palau,C2,0.5138160761780132,C2,0.48516360850970247
Panama,C2,0.6864798555574985,C4,0.6832765411582696
Papua New Guinea,C1,0.218166243823931,C3,0.34212109577034483
Paraguay,C2,0.7009356076885955,C2,-0.15085863577389547
Peru,C2,0.4566349081831071,C2,-0.06965810157032953
Philippines,C1,-0.15280252956456006,C3,-0.042740198600353115
Poland,C2,0.6745406865660664,C2,0.15099266065474531
Portugal,C2,0.7023416779860298,C4,0.6756628209699611
Qatar,C2,0.6464961633503036,C2,-0.15005835289106256
Republic of Korea,C2,0.6699492251463472,C4,0.602734318406675
Republic of Moldova,C1,-0.023674318622692488,C3,0.1748590269585002
Romania,C2,0.4349632877385917,C2,0.36208668186514675
Russian Federation,C1,0.21575162436443482,C3,0.2907402046661502
Rwanda,C1,0.4859756905757729,C1,0.4524437619678771
Saint Kitts and Nevis,C2,0.5794357725118773,C2,0.46588477846501053
Saint Lucia,C2,0.6917856644780741,C2,0.10970351073636884
Saint Vincent and the Grenadines,C2,0.5877297703043295,C2,0.345754363973531
Samoa,C2,0.49772558726108984,C2,0.4609621276876038
San Marino,C2,0.6690997899819668,C4,0.647324615923914
Sao Tome and Principe,C2,0.33053305613419687,C2,0.252217604221637
Saudi Arabia,C2,0.6109399757898661,C2,0.5027618516499989
Senegal,C1,0.2344446200726426,C3,0.3419687006207706
Serbia,C2,0.5814733451937909,C2,0.40476996564567874
Seychelles,C2,0.6494550484588231,C2,0.34675648262475706
Sierra Leone,C1,0.44612349490254105,C1,0.3875388733786729
Singapore,C2,0.6732645688946325,C4,0.7532805614724886
Slovakia,C2,0.6573231208116183,C2,0.30345527845936415
Slovenia,C2,0.7055528605881952,C4,0.5807268394362293
Solomon Islands,C2,0.4519090902745959,C2,0.37370440096840735
Somalia,C1,0.43632153010515634,C3,0.16036366316517056
South Africa,C1,0.41945412978385704,C1,0.29403033807012724
Spain,C2,0.6613133727129725,C4,0.7589285808526762
Sri Lanka,C2,0.5423034545084858,C2,0.3579491632505521
Sudan,C1,0.258533715391365,C3,0.3753811824608018
Suriname,C2,0.4267534029526654,C2,0.3831575954481167
Swaziland,C1,0.35071663574498707,C1,0.32245055311563164
Sweden,C2,0.6734283992880158,C4,0.7520360683352807
Switzerland,C2,0.6605127401609266,C4,0.7601997143190784
Syrian Arab Republic,C2,0.6069530678529637,C2,0.447009738991258
Tajikistan,C1,0.07621659372076459,C3,0.21582579217660455
Thailand,C2,0.4899580816059154,C2,0.05226711240765962
The former Yugoslav Republic of Macedonia,C2,0.5205723324419935,C2,0.44120488537998487
Timor-Leste,C1,0.2665729954789495,C1,-0.07967165738876301
Togo,C1,0.4179437752783016,C3,0.09613764818992032
Tonga,C2,0.6161666387135535,C2,0.4016999705920522
Trinidad and Tobago,C2,0.5827291517520837,C2,0.46215771374374104
Tunisia,C2,0.6244717269784331,C2,0.41334769262129045
Turkey,C2,0.4624564330831917,C2,0.39043315053724104
Turkmenistan,C1,0.14075371355461946,C3,0.2320924793137299
Tuvalu,C1,0.24844284641286316,C3,0.31564871726215965
Uganda,C1,0.44828938583651123,C1,0.43290002590800464
Ukraine,C1,0.0313547636237165,C3,0.19421189029140212
United Arab Emirates,C2,0.6594798010689045,C2,-0.006864143857815866
United Kingdom,C2,0.6888743008986997,C4,0.7849612825896247
United Republic of Tanzania,C1,0.4867378375271205,C1,0.44599576993381534
United States of America,C2,0.6991310327913335,C4,0.7376989955038327
Uruguay,C2,0.6902805755827506,C4,0.5464359784336762
Uzbekistan,C1,-0.1469056126379186,C3,0.022634870350136324
Vanuatu,C2,0.5347393061716111,C2,0.5066655806837499
Venezuela,C2,0.6938802136079307,C2,-0.3403143695798584
Viet Nam,C2,0.5376406994741902,C2,0.27507863175038666
Yemen,C1,-0.045669580124037386,C3,0.14064664544481173
Zambia,C1,0.3824479194613854,C1,0.39954389064185414
Zimbabwe,C1,0.3570019031364855,C1,0.37081252506647316
